"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2012""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""78""";19/04/2012;"""2""";"""Dry Mesh T-Shirt""";"""Publicitária""";"""01/05/2012 a 17/05/2012""";"""Xes Projetos Visuais Ltda.""";"""SP""";"""Tyo, Inc.""";"""Japão""";"""Estrangeira""";"""SP"""
"""79""";19/04/2012;"""1""";"""Brazil""";"""Documentário""";"""19/04/2012 a 19/05/2012""";"""Nation & Nação Produções Artísticas Ltda.""";"""SP""";"""Spinning Mirror""";"""Austrália""";"""Estrangeira""";"""SP"""
"""80""";24/04/2012;"""7""";"""Anthony Bourdain: No Reservations""";"""Documentário""";"""03/05/2012 a 18/05/2012 """;"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""Zero Point Zero Production Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ/SP"""
"""81""";24/04/2012;"""5""";"""Futari Tabi""";"""Documentário""";"""14/05/2012 a 30/05/2012""";"""Urutau Filmes Ltda.""";"""SP""";"""Dreamax Television Inc.""";"""Japão""";"""Estrangeira""";"""BA/MS/PR"""
"""82""";24/04/2012;"""4""";"""Calendário Pirelli 2013""";"""Documentário""";"""10/05/2012 a 25/05/2012""";"""Neon Rio Ltda.""";"""RJ""";"""The Production Club""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""83""";24/04/2012;"""2""";"""Darwin Ga Kita""";"""Documentário""";"""12/05/2012 a 10/06/2012""";"""Town Network Filmagens Ltda.""";"""SP""";"""Antas Productions Ltd.""";"""Japão""";"""Estrangeira""";"""ES/MG"""
"""84""";25/04/2012;"""4""";"""Fan Quest: Twilight""";"""Documentário""";"""03/05/2012 a 18/05/2012 """;"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""Crews Control""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""85""";26/04/2012;"""3""";"""How We Invented The World""";"""Documentário""";"""26/05/2012 a 01/06/2012""";"""Brian M. Sewell Produções Cinematográficas.""";"""RJ""";"""Discovery Communications Europe Ltd""";"""Reino Unido""";"""Estrangeira""";"""SP"""
"""86""";26/04/2012;"""2""";"""Sistema De Transporte/Brasil""";"""Documentário""";"""15/05/2012 a 30/07/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Windfall Films""";"""Reino Unido""";"""Estrangeira""";"""ES/MA/PA/SP"""
"""87""";27/04/2012;"""7""";"""Smiles""";"""Publicitária""";"""10/05/2012 a 01/06/2012""";"""JKR Produções Artísticas Ltda.""";"""RJ""";"""Epoch Films""";"""Estados Unidos""";"""Estrangeira""";"""RJ"""
"""88""";02/05/2012;"""1""";"""Porto Alegre Do Futuro""";"""Documentário""";"""08/05/2012 a 15/05/2012""";"""Rafael Dutra Rodrigues - ME""";"""RS""";"""xxx""";"""xxx""";"""Brasileira""";"""RS"""
"""89""";02/05/2012;"""4""";"""The Art Of Ryan Doyle""";"""Documentário""";"""14/05/2012 a 19/05/2012""";"""Aura Filmes Produções Ltda.""";"""RJ""";"""ByLauterbach GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ"""
"""90""";03/05/2012;"""5""";"""Guia De Segurança""";"""Institucional""";"""15/05/2012 a 30/05/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Twofour Broadcast Limited""";"""Reino Unido""";"""Estrangeira""";"""GO/SP"""
